rebal_date,umap_x,umap_y,regime
2010-11-09,-8.332644,1.8502511,0
2010-11-16,-8.318199,1.8650655,0
2010-11-24,-8.317254,1.865999,0
2010-12-01,-8.306127,1.8771733,0
2010-12-08,-8.333267,1.8500137,0
2010-12-15,15.071552,-0.16745597,2
2010-12-23,15.112163,-0.21355227,2
2010-12-30,15.120459,-0.21092576,2
2011-01-06,15.112636,-0.21136557,2
2011-01-13,15.125927,-0.22977242,2
2011-01-20,15.136514,-0.23457156,2
2011-01-28,15.1192875,-0.23564534,2
2011-02-04,15.133174,-0.23986481,2
2011-02-11,8.758104,4.726334,1
2011-02-18,8.654377,4.5878525,1
2011-02-25,8.630973,4.5340843,1
2011-03-07,8.579072,4.2952337,1
2011-03-14,8.730169,4.2334003,1
2011-03-21,8.564295,4.0534353,1
2011-03-28,8.737572,4.3117723,1
2011-04-04,8.647032,4.400652,1
2011-04-11,8.75379,4.384589,1
2011-04-20,8.810479,4.3177414,1
2011-04-28,8.754643,4.3473783,1
2011-05-05,8.72664,4.3685913,1
2011-05-12,8.847463,4.261714,1
2011-05-19,8.888105,4.3154526,1
2011-05-26,8.592806,4.2342525,1
2011-06-02,8.625974,4.265432,1
2011-06-09,8.9813795,4.233415,1
2011-06-16,8.899883,4.34627,1
2011-06-23,8.97883,4.3334374,1
2011-06-30,8.844403,4.3952985,1
2011-07-07,8.939865,4.3185506,1
2011-07-14,8.950424,4.2909503,1
2011-07-21,8.377584,2.8865135,1
2011-07-28,8.220556,3.0486162,1
2011-08-04,8.620796,4.293366,1
2011-08-11,8.508768,4.226011,1
2011-08-19,8.444652,4.085211,1
2011-08-26,8.092292,3.2212753,1
2011-09-06,8.348113,2.9254055,1
2011-09-13,8.403213,2.887877,1
2011-09-20,8.37899,2.9043865,1
2011-09-27,8.477271,2.9117117,1
2011-10-04,8.866057,2.0801861,1
2011-10-12,8.88869,2.024671,1
2011-10-19,8.898813,2.0380409,1
2011-10-28,8.90997,2.0934565,1
2011-11-04,9.192201,2.1851082,1
2011-11-15,9.0752535,2.1449666,1
2011-11-22,8.95996,2.1176279,1
2011-11-29,8.677131,2.186962,1
2011-12-07,8.700839,2.1755166,1
2011-12-14,8.457025,2.268469,1
2011-12-21,8.419987,2.288759,1
2011-12-28,8.71143,2.186338,1
2012-01-04,8.637956,2.2041788,1
2012-01-11,8.773577,2.1100993,1
2012-01-18,8.750051,2.1721475,1
2012-01-25,8.834199,2.09921,1
2012-02-02,8.827351,2.0702384,1
2012-02-09,8.835262,2.0473318,1
2012-02-16,8.913086,2.0288353,1
2012-02-24,9.291543,2.224075,1
2012-03-02,9.024396,2.1927793,1
2012-03-12,8.975016,2.341263,1
2012-03-19,9.03657,2.8857856,1
2012-03-26,8.34563,2.9067042,1
2012-04-02,9.780983,2.3690977,1
2012-04-11,10.125697,2.3933868,1
2012-04-18,10.143061,2.3801825,1
2012-04-25,10.110781,2.3667922,1
2012-05-03,9.873879,2.3319862,1
2012-05-10,10.106528,2.3587081,1
2012-05-17,10.392581,2.4262247,1
2012-05-24,10.5965805,2.5623379,1
2012-05-31,13.115867,2.589151,2
2012-06-07,10.483991,2.4631698,1
2012-06-14,13.154546,2.579245,2
2012-06-21,13.145026,2.5371287,2
2012-06-28,13.142549,2.5314875,2
2012-07-05,13.105824,2.5236404,2
2012-07-12,13.133494,2.5703518,2
2012-07-19,13.107893,2.6061244,2
2012-07-26,10.50376,2.505565,1
2012-08-02,10.56204,2.5657783,1
2012-08-09,10.727699,2.6112423,1
2012-08-17,11.004976,2.919897,1
2012-08-27,11.0559845,2.9718993,1
2012-09-03,11.002909,2.9381692,1
2012-09-10,11.029541,2.987617,1
2012-09-17,11.129686,2.946138,1
2012-09-25,11.018137,3.0054135,1
2012-10-03,13.433776,3.2038867,2
2012-10-10,13.838879,3.078802,2
2012-10-17,13.869655,3.0897255,2
2012-10-25,13.862489,3.0456798,2
2012-11-02,13.744233,3.1449342,2
2012-11-09,13.661684,3.149981,2
2012-11-20,13.825476,3.1426146,2
2012-11-27,14.154839,3.177301,2
2012-12-05,17.070337,4.4986596,2
2012-12-12,17.034534,4.547107,2
2012-12-19,17.069813,4.544249,2
2012-12-27,16.971289,4.565405,2
2013-01-03,17.016794,4.535274,2
2013-01-10,17.227957,4.2984695,2
2013-01-17,17.172485,4.4268885,2
2013-01-24,17.059448,4.5392184,2
2013-01-31,14.01367,3.1395602,2
2013-02-07,17.02976,4.543343,2
2013-02-14,14.999024,3.418114,2
2013-02-21,15.134776,3.4408462,2
2013-02-28,13.972745,3.155735,2
2013-03-07,13.996812,3.1846457,2
2013-03-14,13.938124,3.0059655,2
2013-03-21,13.962001,3.0510375,2
2013-04-01,13.452121,4.1413975,2
2013-04-08,13.424862,4.1545234,2
2013-04-15,13.375,4.1042776,2
2013-04-23,13.321089,4.079174,2
2013-05-02,13.508942,3.4989924,2
2013-05-09,13.443654,3.3745337,2
2013-05-16,13.323535,3.3777435,2
2013-05-23,13.457246,3.5038042,2
2013-05-30,13.67271,3.6101258,2
2013-06-06,13.665511,3.6044896,2
2013-06-13,13.702431,3.6379218,2
2013-06-20,13.674953,3.6367993,2
2013-06-27,13.699105,3.6460133,2
2013-07-04,13.600378,3.6815028,2
2013-07-11,13.428486,3.6498287,2
2013-07-18,13.085138,3.7835536,2
2013-07-25,13.070851,3.763467,2
2013-08-01,10.7488165,2.689704,1
2013-08-08,10.414481,2.4724033,1
2013-08-19,10.363711,2.6227074,1
2013-08-26,9.489829,3.2060506,1
2013-09-02,9.261537,3.633734,1
2013-09-10,9.20849,3.857437,1
2013-09-17,9.227697,3.7583525,1
2013-09-24,7.114144,3.5734,1
2013-10-01,7.1206503,3.5713863,1
2013-10-09,7.0888777,3.6054406,1
2013-10-17,7.089327,3.6170115,1
2013-10-24,7.1261106,3.7237887,1
2013-10-31,7.1004176,3.711098,1
2013-11-08,7.097921,3.8367527,1
2013-11-18,7.1092086,4.011802,1
2013-11-25,7.111536,4.590685,1
2013-12-02,7.088204,4.6017833,1
2013-12-09,7.12608,4.6285987,1
2013-12-16,7.1275697,4.626596,1
2013-12-23,7.09318,4.591351,1
2013-12-31,7.183267,4.614132,1
2014-01-07,7.1593704,4.6660852,1
2014-01-14,7.4694285,4.5877347,1
2014-01-21,7.4987545,4.4892435,1
2014-01-28,7.169931,4.535626,1
2014-02-04,7.8088827,2.770867,1
2014-02-11,8.4977455,2.457275,1
2014-02-18,11.1987505,3.2733073,1
2014-02-25,11.09083,3.0758593,1
2014-03-05,12.811191,3.032269,2
2014-03-12,12.750531,3.0793846,2
2014-03-20,12.792701,3.834395,2
2014-03-27,12.850584,4.0440893,2
2014-04-03,13.971664,2.5737457,2
2014-04-11,13.910013,2.5471332,2
2014-04-22,13.872418,2.5696871,2
2014-04-29,14.099051,2.4548974,2
2014-05-07,14.180969,2.3986554,2
2014-05-14,13.853108,2.576291,2
2014-05-21,13.566786,2.681317,2
2014-05-28,13.27602,3.3273652,2
2014-06-04,13.810416,2.6025124,2
2014-06-11,13.739905,2.729152,2
2014-06-18,13.7305355,2.7856295,2
2014-06-25,14.836633,0.14415415,2
2014-07-02,14.834999,0.13659562,2
2014-07-09,14.896211,0.06005709,2
2014-07-16,14.892718,0.05995087,2
2014-07-23,14.856411,0.098635055,2
2014-07-31,14.888014,0.06616341,2
2014-08-07,14.881786,0.08076682,2
2014-08-14,14.902405,0.047633696,2
2014-08-22,14.941894,0.001144322,2
2014-09-01,14.935068,0.012371566,2
2014-09-08,14.9598875,-0.021947863,2
2014-09-15,14.971297,-0.039081223,2
2014-09-22,14.983435,-0.053092208,2
2014-09-29,12.197848,2.9566066,2
2014-10-09,12.211014,3.0005348,2
2014-10-16,12.266538,2.860828,2
2014-10-27,12.123451,2.7589638,2
2014-11-03,12.31666,2.870526,2
2014-11-12,12.137262,2.8017511,2
2014-11-19,13.821497,2.5789437,2
2014-11-26,12.831165,3.3328578,2
2014-12-03,13.387838,3.0594962,2
2014-12-10,13.32918,3.0968082,2
2014-12-17,13.757728,2.7509208,2
2014-12-24,13.57449,2.9416122,2
2015-01-01,13.536233,2.9502861,2
2015-01-08,13.376176,3.0636864,2
2015-01-15,13.368608,3.099405,2
2015-01-22,13.333323,3.0943048,2
2015-01-30,13.460206,3.2472854,2
2015-02-06,13.426254,3.285474,2
2015-02-13,13.3655615,3.294411,2
2015-02-23,13.396078,3.2599912,2
2015-03-02,13.195778,3.4160047,2
2015-03-10,13.162413,3.4119847,2
2015-03-17,12.917891,3.8140783,2
2015-03-24,12.88296,3.927627,2
2015-03-31,12.773158,4.179908,2
2015-04-09,12.457019,4.628879,2
2015-04-17,12.590155,4.4620495,2
2015-04-24,12.738588,4.700575,2
2015-05-04,12.828108,4.709917,2
2015-05-11,12.77927,4.7346473,2
2015-05-18,12.762599,4.743747,2
2015-05-25,12.8048315,4.745573,2
2015-06-01,12.423441,4.4242268,2
2015-06-08,12.371463,4.8417907,2
2015-06-15,12.4139805,5.019956,2
2015-06-22,12.41751,5.1670475,2
2015-06-29,12.458964,5.0794086,2
2015-07-06,12.479662,5.0939493,2
2015-07-13,12.506837,5.0962143,2
2015-07-20,12.513432,5.076205,2
2015-07-27,12.513714,4.745476,2
2015-08-03,12.404526,4.8600993,2
2015-08-10,12.419909,5.0788865,2
2015-08-17,12.329621,4.7719173,2
2015-08-24,12.179254,4.820372,2
2015-08-31,7.770385,4.325926,1
2015-09-07,7.7048373,4.397432,1
2015-09-14,7.48846,4.570909,1
2015-09-22,7.7072067,4.486182,1
2015-09-30,7.705801,4.447853,1
2015-10-08,8.146392,3.028007,1
2015-10-15,8.193777,3.0102375,1
2015-10-23,8.151679,3.062353,1
2015-10-30,8.077726,3.1207757,1
2015-11-06,8.090699,3.6701176,1
2015-11-17,8.178669,3.7265894,1
2015-11-24,8.16248,3.4947615,1
2015-12-02,8.059758,3.655917,1
2015-12-09,8.25954,3.7648187,1
2015-12-16,8.054927,3.680323,1
2015-12-23,8.064802,3.6920722,1
2015-12-31,8.215043,3.8370523,1
2016-01-07,8.484276,4.523438,1
2016-01-14,8.061634,3.6567214,1
2016-01-21,8.030584,3.669959,1
2016-01-29,8.200028,3.68096,1
2016-02-05,8.179107,4.2479553,1
2016-02-12,8.181754,4.0409575,1
2016-02-19,9.093027,4.153995,1
2016-02-26,8.325887,3.7700715,1
2016-03-04,8.070146,3.7728782,1
2016-03-14,7.646441,4.3203816,1
2016-03-21,11.6443615,3.2653792,2
2016-03-30,8.129836,3.7453222,1
2016-04-06,11.573205,3.201596,2
2016-04-13,8.253049,3.7717896,1
2016-04-25,8.203417,3.7626538,1
2016-05-02,8.221049,3.7874799,1
2016-05-09,8.1345,4.8368506,1
2016-05-16,8.050052,5.1855392,1
2016-05-23,8.010649,5.307636,1
2016-05-30,7.854004,5.3917503,1
2016-06-06,7.956124,5.780307,1
2016-06-13,8.122318,5.8803034,1
2016-06-20,8.125136,5.82651,1
2016-06-27,8.187351,5.658747,1
2016-07-04,8.236654,5.9014225,1
2016-07-12,8.413716,5.9081798,1
2016-07-19,9.240075,6.4533024,1
2016-07-26,9.33578,6.476636,1
2016-08-02,9.691052,6.3994784,1
2016-08-09,10.108328,6.2710223,1
2016-08-17,13.854625,4.725245,2
2016-08-24,14.018862,4.9724646,2
2016-08-31,13.81795,4.7133374,2
